,Total population,Male,Female,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,White,Black or African American,Asian,Hispanic or Latino (of any race)
MN40,58834,26419,32415,2771,3028,3300,2136,2144,6725,7473,8478,3835,4350,7928,5058,53480,796,3150,2938
MN04,51527,24592,26935,2926,2814,3069,3360,4695,10552,7629,6653,2429,2035,3233,1542,12216,21968,844,25515
MN06,23845,11266,12579,1320,1336,1524,1717,2526,4619,3275,2734,1138,1001,1542,769,4486,8816,856,13312
MN09,54326,23401,30925,1815,1424,1476,6442,8937,11797,5301,6071,2558,2362,2952,1962,30773,8339,7845,12360
MN03,78193,36230,41963,4467,4553,4731,5742,6873,13035,11705,10842,4688,2906,4968,2593,10012,53918,2097,17786
MN11,46694,21442,25252,3477,2583,2597,2684,3946,9300,7284,6449,2703,1878,2115,1145,10227,28198,1809,8793
MN33,59794,28418,31376,3432,2704,3398,4465,5410,11246,7904,7514,3151,3176,3419,2917,22500,18032,6026,26328
MN34,60465,27272,33193,4231,3780,4588,4914,5888,10306,7582,6800,3146,2541,3520,2067,12810,23988,2239,31253
MN01,50358,24812,25546,3203,2730,3282,3036,3934,8269,7647,7741,3271,2373,3061,1175,17310,6407,737,37889
MN35,71085,33353,37732,3761,3034,3793,4716,7048,12389,9041,9486,4420,4058,4768,2982,32365,5899,2067,46510
MN36,89551,44204,45347,4794,4400,3964,5546,8742,17365,12827,11477,5603,4357,5645,3109,25493,16426,2558,64553
MN99,1483,1216,267,0,0,3,8,49,340,291,402,190,94,48,43,470,838,6,454
QN68,18539,8552,9987,1128,1313,1464,1324,1681,2897,2777,2477,1026,835,960,498,7436,4761,2471,8128
QN70,75149,37003,38146,2968,2710,2776,3052,6372,19363,11800,9419,3756,3168,5191,3330,52562,4156,10175,21277
QN71,26470,13485,12985,1492,959,1075,1526,2622,6588,4242,3227,1239,822,1439,1004,14527,2789,4229,8356
QN72,49001,24114,24887,2244,1795,1932,2004,3733,12344,7178,6166,2634,2536,3272,2280,38107,1217,4581,10978
QN99,438,196,242,24,19,18,28,26,47,20,89,27,17,22,48,271,60,93,65
QN31,60575,29889,30686,3345,2385,2112,2369,4276,15344,10886,7535,3383,2798,3855,1692,36175,1471,15435,21198
QN50,25088,12415,12673,1267,1304,1092,1263,1467,4933,4354,3580,1448,1476,1559,1064,8245,165,14364,6538
QN63,45259,22708,22551,2417,2307,2238,2164,3294,9394,7566,5468,2455,2516,2920,1629,20594,1055,17028,15533
QN26,50295,28493,21802,4500,3489,2610,2824,5171,11788,9364,5034,1707,1199,1630,678,23428,3095,4573,43197
QN27,23070,12001,11069,1741,1442,1320,1566,1917,4243,3774,2878,1170,839,1063,765,5102,6094,1314,14746
QN28,105188,53569,51619,6142,5182,5310,6407,8405,17538,16273,16298,6446,5326,6215,4052,50451,2853,25597,57031
QN98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QN25,54091,27524,26567,4115,3906,2996,3843,4154,9410,8296,6826,2973,2264,2640,2032,23619,9225,7767,32553
QN29,84904,43582,41322,5046,4291,4439,4720,7048,16362,13914,11870,4590,3625,5723,2472,35792,1468,39071,38195
QN19,31750,15226,16524,1946,1647,2071,1975,2304,4801,4365,4614,2082,1677,2473,1291,28191,348,946,11172
QN20,70166,34551,35615,5407,4107,4365,4653,5819,12823,10554,9052,4344,2817,3355,2042,54960,1787,5559,35863
QN21,39062,18654,20408,1601,2230,2146,1934,2026,4620,6096,5906,2552,2678,3495,2552,34229,500,2643,6567
QN30,27677,13585,14092,1733,1472,1522,1398,1729,4066,4414,4091,1914,1814,1744,1100,21764,343,2994,7146
QN17,84694,38378,46316,4787,4193,3335,3219,3497,14268,13198,11880,5720,5407,6888,5320,55688,2267,20655,10414
QN18,27500,13096,14404,1687,1039,1068,1036,1398,5222,3873,3671,2130,1893,2257,1518,16064,846,8787,4667
QN22,69382,33208,36174,3025,2908,2877,3834,4556,10275,10769,11382,4949,3793,5294,3611,12849,3192,46415,10939
QN23,24199,12281,11918,1499,1415,1403,1482,1591,3428,3899,3194,1507,1440,1619,1051,11155,652,6486,8781
QN47,22943,10668,12275,1077,771,994,1249,1265,2311,2763,3750,1631,1522,2127,2429,15499,302,5760,2142
QN49,32331,15482,16849,2088,1774,1917,1793,1646,3981,4091,5193,1987,2100,2855,1904,25273,198,5220,4701
QN51,51509,24824,26685,2850,2381,1922,2461,3257,8194,7528,8089,3542,3074,4265,2827,17432,977,28014,7766
QN52,27943,13333,14610,1336,1479,1206,1244,2055,4305,4154,4579,1834,1457,2211,1580,8057,604,16426,4318
QN62,20989,10284,10705,1180,1392,1143,1325,1409,3203,2818,3571,1334,1127,1271,905,5085,382,13347,3072
QN06,25067,11174,13893,1212,1098,1334,1343,1640,2798,3182,4557,1867,1541,2362,1394,7761,6706,7569,3830
QN35,38449,19158,19291,2403,1743,1432,2448,2714,6944,5433,5465,3016,1789,2806,1367,10607,4623,13852,9880
QN37,36683,17624,19059,3095,2387,2312,1888,2895,5738,4271,4708,2496,1823,2592,1938,21949,3315,8478,4584
QN38,33532,15867,17665,1942,1738,2097,3187,2824,3677,4363,4835,2408,1880,2348,1616,14257,3801,10810,6700
QN41,18177,8605,9572,1216,1071,1224,821,1288,2608,2465,2973,1064,862,1412,729,6377,925,9149,2394
QN53,59550,29264,30286,4573,4112,3756,4575,4906,9283,8900,8452,3260,2704,2829,1462,21029,4388,13257,31359
QN54,65199,32293,32906,3708,4361,4697,5145,5325,9851,9683,9707,4043,3359,3207,1442,17795,6824,19479,22785
QN60,22878,11240,11638,1349,878,930,1155,1479,4674,3044,3058,1566,1568,1791,850,14227,1812,3435,6404
QN55,80046,38893,41153,4516,4454,5458,5908,6953,11372,11807,12454,5536,3701,4934,2341,12810,19557,19724,17681
QN56,22136,10746,11390,1657,1210,1568,1369,1851,3143,3214,3523,1319,966,1304,704,10183,1419,4802,9258
